destination,time,statusCode,extract_date,flight number,airline,sche_dept_time,day,actual_dept_time,delay_time,delay_min,delay_hour,airlines,airlines_ranking
MNL,14:20,DA,2020-12-17,CX 919,CX,1900-01-01 14:20:00,0 days 00:00:00.000000000,1900-01-01 14:15:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
SVO,14:30,DA,2020-12-17,SU 213,SU,1900-01-01 14:30:00,0 days 00:00:00.000000000,1900-01-01 14:05:00,0 days 00:00:00.000000000,0,0,PJSC Aeroflot,22
HND,14:55,DA,2020-12-17,NH 860,NH,1900-01-01 14:55:00,0 days 00:00:00.000000000,1900-01-01 14:45:00,0 days 00:00:00.000000000,0,0,All Nippon Airways Co. Ltd.,3
YVR,15:00,DA,2020-12-17,AC 008,AC,1900-01-01 15:00:00,0 days 00:00:00.000000000,1900-01-01 14:49:00,0 days 00:00:00.000000000,0,0,Air Canada,31
PER,15:15,DA,2020-12-17,CX 171,CX,1900-01-01 15:15:00,0 days 00:00:00.000000000,1900-01-01 15:16:00,0 days 00:01:00.000000000,1,0,Cathay Pacific Airways Ltd.,4
NRT,15:20,DA,2020-12-17,NH 9646,NH,1900-01-01 15:20:00,0 days 00:00:00.000000000,1900-01-01 15:07:00,0 days 00:00:00.000000000,0,0,All Nippon Airways Co. Ltd.,3
SIN,15:45,DA,2020-12-17,SQ 861,SQ,1900-01-01 15:45:00,0 days 00:00:00.000000000,1900-01-01 14:55:00,0 days 00:00:00.000000000,0,0,Singapore Airlines Limited,2
BKK,16:05,DA,2020-12-17,CX 701,CX,1900-01-01 16:05:00,0 days 00:00:00.000000000,1900-01-01 15:47:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
KHH,16:10,DA,2020-12-17,CI 936,CI,1900-01-01 16:10:00,0 days 00:00:00.000000000,1900-01-01 15:44:00,0 days 00:00:00.000000000,0,0,China Airlines Ltd.,34
MNL,16:15,DA,2020-12-17,CX 903,CX,1900-01-01 16:15:00,0 days 00:00:00.000000000,1900-01-01 16:23:00,0 days 00:08:00.000000000,8,0,Cathay Pacific Airways Ltd.,4
DXB,16:30,DA,2020-12-17,CX 731,CX,1900-01-01 16:30:00,0 days 00:00:00.000000000,1900-01-01 17:16:00,0 days 00:46:00.000000000,46,0,Cathay Pacific Airways Ltd.,4
SGN,16:50,DA,2020-12-17,CX 799,CX,1900-01-01 16:50:00,0 days 00:00:00.000000000,1900-01-01 16:37:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
TPE,16:55,DA,2020-12-17,HX 282,HX,1900-01-01 16:55:00,0 days 00:00:00.000000000,1900-01-01 16:50:00,0 days 00:00:00.000000000,0,0,Hong Kong Airlines Limited,24
RMQ,17:00,DA,2020-12-17,AE 1820,AE,1900-01-01 17:00:00,0 days 00:00:00.000000000,1900-01-01 16:47:00,0 days 00:00:00.000000000,0,0,Mandarin Airlines Ltd.,100+
MNL,17:10,DA,2020-12-17,CX 935,CX,1900-01-01 17:10:00,0 days 00:00:00.000000000,1900-01-01 16:59:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
AKL,17:20,DA,2020-12-17,NZ 080,NZ,1900-01-01 17:20:00,0 days 00:00:00.000000000,1900-01-01 17:26:00,0 days 00:06:00.000000000,6,0,Air New Zealand Limited,16
CEB,17:30,DA,2020-12-17,CX 925,CX,1900-01-01 17:30:00,0 days 00:00:00.000000000,1900-01-01 17:27:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
TPE,17:45,DA,2020-12-17,CI 916,CI,1900-01-01 17:45:00,0 days 00:00:00.000000000,1900-01-01 17:38:00,0 days 00:00:00.000000000,0,0,China Airlines Ltd.,34
YYZ,18:00,DA,2020-12-17,AC 7154,AC,1900-01-01 18:00:00,0 days 00:00:00.000000000,1900-01-01 17:40:00,0 days 00:00:00.000000000,0,0,Air Canada,31
SIN,18:15,DA,2020-12-17,TR 981,TR,1900-01-01 18:15:00,0 days 00:00:00.000000000,1900-01-01 20:06:00,0 days 01:51:00.000000000,111,60,Scoot Tigerair Pte. Ltd dba Scoot,64
SIN,18:20,DA,2020-12-17,SQ 865,SQ,1900-01-01 18:20:00,0 days 00:00:00.000000000,1900-01-01 18:01:00,0 days 00:00:00.000000000,0,0,Singapore Airlines Limited,2
HAN,18:25,DA,2020-12-17,CX 743,CX,1900-01-01 18:25:00,0 days 00:00:00.000000000,1900-01-01 18:08:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
TPE,18:30,DA,2020-12-17,CX 402,CX,1900-01-01 18:30:00,0 days 00:00:00.000000000,1900-01-01 18:24:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
TPE,18:40,DA,2020-12-17,BR 856,BR,1900-01-01 18:40:00,0 days 00:00:00.000000000,1900-01-01 18:51:00,0 days 00:11:00.000000000,11,0,EVA Airways Corporation,6
KHH,18:50,DA,2020-12-17,CI 938,CI,1900-01-01 18:50:00,0 days 00:00:00.000000000,1900-01-01 18:17:00,0 days 00:00:00.000000000,0,0,China Airlines Ltd.,34
SYD,18:55,DA,2020-12-17,CX 111,CX,1900-01-01 18:55:00,0 days 00:00:00.000000000,1900-01-01 18:55:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
TPE,19:00,DA,2020-12-17,BR 858,BR,1900-01-01 19:00:00,0 days 00:00:00.000000000,1900-01-01 19:04:00,0 days 00:04:00.000000000,4,0,EVA Airways Corporation,6
MEL,19:05,DA,2020-12-17,CX 135,CX,1900-01-01 19:05:00,0 days 00:00:00.000000000,1900-01-01 18:57:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
CGK,19:05,DA,2020-12-17,CX 797,CX,1900-01-01 19:05:00,0 days 00:00:00.000000000,1900-01-01 19:07:00,0 days 00:02:00.000000000,2,0,Cathay Pacific Airways Ltd.,4
DOH,19:05,DA,2020-12-17,QR 817,QR,1900-01-01 19:05:00,0 days 00:00:00.000000000,1900-01-01 19:10:00,0 days 00:05:00.000000000,5,0,Qatar Airways (Q.C.S.C.),1
TPE,19:40,DA,2020-12-17,BR 872,BR,1900-01-01 19:40:00,0 days 00:00:00.000000000,1900-01-01 19:52:00,0 days 00:12:00.000000000,12,0,EVA Airways Corporation,6
SIN,19:55,DA,2020-12-17,SQ 871,SQ,1900-01-01 19:55:00,0 days 00:00:00.000000000,1900-01-01 19:29:00,0 days 00:00:00.000000000,0,0,Singapore Airlines Limited,2
BOM,20:10,DA,2020-12-17,CX 663,CX,1900-01-01 20:10:00,0 days 00:00:00.000000000,1900-01-01 20:01:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
MNL,20:30,DA,2020-12-17,5J 119,5J,1900-01-01 20:30:00,0 days 00:00:00.000000000,1900-01-01 19:52:00,0 days 00:00:00.000000000,0,0,"Cebu Air, Inc dba Cebu Pacific Air",100+
BKK,20:35,DA,2020-12-17,EK 385,EK,1900-01-01 20:35:00,0 days 00:00:00.000000000,1900-01-01 20:37:00,0 days 00:02:00.000000000,2,0,Emirates,5
TPE,21:10,DA,2020-12-17,CI 924,CI,1900-01-01 21:10:00,0 days 00:00:00.000000000,1900-01-01 20:51:00,0 days 00:00:00.000000000,0,0,China Airlines Ltd.,34
BKK,21:20,DA,2020-12-17,KL 848,KL,1900-01-01 21:20:00,0 days 00:00:00.000000000,1900-01-01 23:22:00,0 days 02:02:00.000000000,122,120,KLM,18
GUM,21:25,DA,2020-12-17,UA 2851,UA,1900-01-01 21:25:00,0 days 00:00:00.000000000,1900-01-01 21:01:00,0 days 00:00:00.000000000,0,0,"United Airlines, Inc.",68
KUL,21:30,DA,2020-12-17,HX 2745,HX,1900-01-01 21:30:00,0 days 00:00:00.000000000,1900-01-01 21:33:00,0 days 00:03:00.000000000,3,0,Hong Kong Airlines Limited,24
TPE,21:40,DA,2020-12-17,CI 928,CI,1900-01-01 21:40:00,0 days 00:00:00.000000000,1900-01-01 21:21:00,0 days 00:00:00.000000000,0,0,China Airlines Ltd.,34
TPE,21:45,DA,2020-12-17,HX 284,HX,1900-01-01 21:45:00,1 days 00:00:00.000000000,1900-01-01 05:31:00,0 days 07:46:00.000000000,466,420,Hong Kong Airlines Limited,24
HGH,21:50,DA,2020-12-17,HX 128,HX,1900-01-01 21:50:00,0 days 00:00:00.000000000,1900-01-01 21:52:00,0 days 00:02:00.000000000,2,0,Hong Kong Airlines Limited,24
TPE,22:40,DA,2020-12-17,CI 922,CI,1900-01-01 22:40:00,0 days 00:00:00.000000000,1900-01-01 22:37:00,0 days 00:00:00.000000000,0,0,China Airlines Ltd.,34
KUL,23:00,DA,2020-12-17,HX 2747,HX,1900-01-01 23:00:00,0 days 00:00:00.000000000,1900-01-01 22:44:00,0 days 00:00:00.000000000,0,0,Hong Kong Airlines Limited,24
IST,23:05,DA,2020-12-17,TK 6081,TK,1900-01-01 23:05:00,0 days 00:00:00.000000000,1900-01-01 22:58:00,0 days 00:00:00.000000000,0,0,Turkish Airlines Inc.,27
LHR,23:45,DA,2020-12-17,BA 028,BA,1900-01-01 23:45:00,0 days 00:00:00.000000000,1900-01-01 23:47:00,0 days 00:02:00.000000000,2,0,British Airways p.l.c.,19
FRA,23:45,DA,2020-12-17,LH 797,LH,1900-01-01 23:45:00,0 days 00:00:00.000000000,1900-01-01 23:51:00,0 days 00:06:00.000000000,6,0,Deutsche Lufthansa AG,100+
LHR,23:50,DA,2020-12-17,VS 207,VS,1900-01-01 23:50:00,0 days 00:00:00.000000000,1900-01-01 23:41:00,0 days 00:00:00.000000000,0,0,Virgin Atlantic Airways Limited,21
SYD,23:55,DA,2020-12-17,CX 101,CX,1900-01-01 23:55:00,0 days 00:00:00.000000000,1900-01-01 23:56:00,0 days 00:01:00.000000000,1,0,Cathay Pacific Airways Ltd.,4
LHR,23:55,DA,2020-12-17,CX 251,CX,1900-01-01 23:55:00,0 days 00:00:00.000000000,1900-01-01 23:54:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
MEL,00:05,DA,2020-12-18,CX 105,CX,1900-01-01 00:05:00,0 days 00:00:00.000000000,1900-01-01 00:06:00,0 days 00:01:00.000000000,1,0,Cathay Pacific Airways Ltd.,4
CDG,00:05,DA,2020-12-18,CX 261,CX,1900-01-01 00:05:00,0 days 00:00:00.000000000,1900-01-01 00:19:00,0 days 00:14:00.000000000,14,0,Cathay Pacific Airways Ltd.,4
FRA,00:35,DA,2020-12-18,CX 289,CX,1900-01-01 00:35:00,0 days 00:00:00.000000000,1900-01-01 01:03:00,0 days 00:28:00.000000000,28,0,Cathay Pacific Airways Ltd.,4
